City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,axim,4.8699,-2.2405,27.18,75,35,4.93,GH,1689864006
329,horta,38.5333,-28.6333,21.8,93,40,2.24,PT,1689863986
330,novaya igirma,57.1334,103.9112,17.9,60,79,1.21,RU,1689864007
331,barah,13.7,30.3667,36.67,27,94,4.19,SD,1689864007
332,manghit,42.1156,60.0597,33.99,19,1,0.92,UZ,1689864007
333,tamanrasset,22.785,5.5228,36.95,8,20,3.09,DZ,1689864007
334,gaiman,-43.2897,-65.4929,15.36,52,56,6.42,AR,1689864008
335,alcantara,-2.4089,-44.4147,31.11,59,7,1.49,BR,1689864008
336,dondo,-19.6094,34.7431,24.73,64,5,3.51,MZ,1689864008
337,vera cruz,-12.6333,-41.0333,23.76,30,42,6.09,BR,1689863851
338,fort bragg,35.139,-79.006,31.01,68,0,2.57,US,1689864008
339,bardai,11.65,7.2333,31.33,48,48,5.65,NG,1689864008
340,nova vicosa,-17.8919,-39.3719,23.2,85,96,6.58,BR,1689863929
341,jerada,34.31,-2.16,39.08,9,49,5.36,MA,1689864009
342,pangai,-19.8,-174.35,23.66,80,100,10.96,TO,1689864009
343,yefremov,53.1481,38.0992,20.86,54,65,5.14,RU,1689864009
344,soledad,10.9184,-74.7646,30.07,79,0,3.6,CO,1689864009
345,bodo,67.28,14.405,16.54,77,75,2.57,NO,1689864009
346,broome,42.2506,-75.833,25.94,64,0,2.06,US,1689864009
347,gerash,27.6652,54.1371,43.08,15,51,5.42,IR,1689864010
348,kismayo,-0.3582,42.5454,25.74,79,84,8.29,SO,1689864010
349,bandarbeyla,9.4942,50.8122,23.86,82,100,13.53,SO,1689864010
350,ixtapa,20.7,-105.2,29.57,89,75,0.0,MX,1689864010
351,satipo,-11.2522,-74.6386,25.02,70,64,0.41,PE,1689864010
352,walvis bay,-22.9575,14.5053,15.47,64,9,3.3,NA,1689864010
353,kuacjok,8.3002,27.9903,32.98,43,65,2.22,SS,1689864010
354,nouadhibou,20.931,-17.0347,26.99,61,90,8.23,MR,1689864011
355,muntok,-2.0667,105.1833,25.31,86,95,2.68,ID,1689864011
356,ningde,26.6617,119.5228,26.2,97,100,1.06,CN,1689864011
357,aldinga beach,-35.2793,138.4604,10.93,72,7,4.88,AU,1689864011
358,lorengau,-2.0226,147.2712,27.3,80,11,3.32,PG,1689864012
359,east end,34.5507,-92.341,30.07,88,83,4.19,US,1689864012
360,moron,-34.6534,-58.6198,13.21,79,100,2.96,AR,1689864012
361,isla mujeres,21.2311,-86.731,31.03,72,61,3.85,MX,1689864012
362,luderitz,-26.6481,15.1594,18.14,46,0,8.38,NA,1689864012
363,tarauaca,-8.1614,-70.7656,29.51,48,65,1.82,BR,1689864012
364,codajas,-3.8367,-62.0569,34.42,33,13,2.02,BR,1689864012
